#,dvh.csv
,BODY (1)(volume: 14367.16),2Cm (2)(volume: 362.15),Bronchial Tree (3)(volume: 19.19),Chest Wall (4)(volume: 417.01),Contrast (5)(volume: 450.02),Cord (6)(volume: 7.63),Esophagus (7)(volume: 38.25),Great Vessels (8)(volume: 93.13),Lung_Lt (9)(volume: 943.06),Lung_Rt (10)(volume: 1279.22),Lung_Total (11)(volume: 2222.28),Rib (12)(volume: 37.95),Ring_101 (13)(volume: 27.46),Skin (14)(volume: 247.08),IGTV1 (15)(volume: 14.43),PTV1 (16)(volume: 39.99),IGTV2 (17)(volume: 0.99),PTV2 (18)(volume: 6.52),PTV2 sep (19)(volume: 5.83),PTV sum (20)(volume: 46.24),Ring_102 (21)(volume: 46.63),Ring_103 (22)(volume: 182.87),Ring_104 (23)(volume: 5.44),Ring_105 (24)(volume: 8.19),Ring_106 (25)(volume: 25.34),CouchSurface (26)(volume: 1235.44),CouchInterior (27)(volume: 7933.69),PRV1 (28)(volume: 2053.95),PRV2 (29)(volume: 1896.05),PRV3 (30)(volume: 1716.00)
4.52002,13.4842,72.9203,100,71.4268,41.885,26.375,20.8148,74.9652,5.9788,35.835,23.1667,67.9029,100,33.8382,100,100,100,100,100,100,100,99.0509,100,100,100,0,NaN,63.6052,60.7494,57.5902,
4.57582,13.3683,72.3462,100,71.0595,41.7917,24.75,20.6702,74.871,5.6175,35.6996,22.9354,67.325,100,33.5703,100,100,100,100,100,100,100,99.0415,100,100,100,0,NaN,63.0264,60.133,56.9203,
4.63163,13.2534,71.7316,100,70.6996,41.7032,23.225,20.4757,74.7747,5.27461,35.5599,22.7095,66.8325,100,33.3102,100,100,100,100,100,100,100,99.0331,100,100,100,0,NaN,62.4514,59.5167,56.2483,
4.68743,13.1401,71.1038,100,70.3158,41.6197,21.625,20.2463,74.6948,4.94487,35.4193,22.4886,66.3852,100,33.0431,100,100,100,100,100,100,100,99.0174,100,100,100,0,NaN,61.8831,58.911,55.5907,
4.74323,13.0295,70.4717,100,69.9481,41.5349,20.05,20.002,74.6047,4.63395,35.2839,22.2788,65.9129,100,32.83,100,100,100,100,100,100,100,99.0111,100,100,100,0,NaN,61.3304,58.3201,54.9474,
4.79903,12.9223,69.8355,100,69.5781,41.4561,18.6,19.6928,74.5249,4.33961,35.1444,22.0735,65.4354,100,32.6293,100,100,100,100,100,100,100,99.0017,100,100,100,0,NaN,60.7935,57.7486,54.3229,
4.85484,12.816,69.2035,100,69.1815,41.3759,17.375,19.3936,74.4327,4.06247,35.0045,21.8754,65.0083,100,32.4278,100,100,100,100,100,100,100,98.9933,100,100,100,0,NaN,60.2648,57.1867,53.712,
4.91064,12.7127,68.5683,100,68.8206,41.2971,15.875,19.0545,74.3385,3.8005,34.8615,21.6819,64.6364,100,32.2564,100,100,100,100,100,100,100,98.9828,100,100,100,0,NaN,59.7495,56.6351,53.1129,
4.96644,12.6095,67.9105,100,68.4447,41.2094,14.65,18.7503,74.2484,3.55451,34.7187,21.4953,64.2796,100,32.0681,100,100,100,100,100,100,100,98.9733,100,100,100,0,NaN,59.2325,56.0845,52.5132,
5.02224,12.5083,67.2948,99.9801,68.0596,41.1242,13.025,18.3364,74.1501,3.32147,34.5759,21.3142,63.9429,100,31.8712,100,100,100,100,100,100,100,98.9597,100,100,100,0,NaN,58.7279,55.5484,51.9309,
5.07805,12.4098,66.6465,99.9503,67.6598,41.0284,11.975,18.0073,74.0497,3.10703,34.4303,21.1395,63.5761,100,31.7122,100,100,100,100,100,100,100,98.9503,100,100,100,0,NaN,58.2356,55.0247,51.3639,
